id,Business Unit,Job Family,Job Title,description,cost,Status,is_deleted,created_date,modified_date
1,MOTUS,Customer Service,Controller: Call Centre,To monitor and deliver call centre control service activities through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
2,MOTUS,Operations,Manager: Hospitality (Car Rental),"To plan, manage, retain existing relationships and explore new business opportunities within the hospitality industry in order increase profitability and market share.",2500,,,,
3,MOTUS,"Legal, Risk and Compliance",1 Test Profile,To deliver administrative service in order to process risk management transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
4,MOTUS,Finance,Accountant,"To provide expertise, advice and support to develop operational implementation plans and / or associated service delivery processes for financial dealings and accounting sequences, in order to continuously enhance service delivery, updated information and to reach performance targets.",2500,,,,
5,MOTUS,Finance,Accountant: Dealership,To provide expert accounting advice and support services. Provide detailed analysis of financial transactions to enable management to utilise the information for better decision making.,2500,,,,
6,MOTUS,Finance,Accountant: Group,"To provide expertise, advice and support to develop operational implementation plans and / or associated service delivery processes for financial dealings and accounting sequences, in order to continuously enhance service delivery, updated information and to reach performance targets.",2500,,,,
7,MOTUS,Finance,Accountant: Importer,"To provide expertise, advice and support to develop operational implementation plans and / or associated service delivery processes for financial dealings and accounting sequences, in order to continuously enhance service delivery, updated information and to reach performance targets. Manage and supervises clerical staff in area of accountability.",2500,,,,
8,MOTUS,Finance,Accountant: Warranty Importer (Warranty Hub),"To provide expertise, advice and support to develop operational implementation plans and / or associated service delivery processes for financial dealings and accounting sequences, in order to continuously enhance service delivery, updated information and to reach performance targets together with an effective warranty claims analysis and validation service, advice and support in order to ensure business and dealer operational compliance with specific rules and policies",2500,,,,
9,MOTUS,Administration,Administrative Assistant,To assist the business unit in delivering administrative work in order to process administrative and related transactions accurately and timely through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
10,MOTUS,Administration,Administrative Assistant: Car Rental,To assist the business unit in delivering administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
11,MOTUS,Distribution,Administrative Assistant: Distribution,To deliver general and administrative support for the distribution department ensuring vehicle delivery transactions are accurately and timely executed through predefined work objectives as per agreed standard operating procedures.,2500,,,,
12,MOTUS,Administration,Administrative Assistant: Finance,To assist the business unit in delivering financial administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
13,MOTUS,Human Capital,Administrative Assistant: Human Capital,To provide timeous administrative assistant human resources support through the execution of set work objectives as per agreed standard operating procedures.,2500,,,,
14,MOTUS,Administration,Administrative Assistant: Manufacturing,To assist the unit in delivering manufacturing administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
15,MOTUS,Administration,Administrative Assistant: Parts,To deliver parts administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures,2500,,,,
16,MOTUS,Administration,Administrative Assistant: Procurement,To assist the unit in delivering procurement administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
17,MOTUS,Administration,Administrative Assistant: Sales,To assist the sales unit in delivering sales administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
18,MOTUS,Administration,Administrative Assistant: Warehouse,To assist the unit in delivering warehouse administrative work in order to process administrative and related transactions accurately and timely through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
19,MOTUS,Administration,Administrator,To deliver administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
20,MOTUS,"Legal, Risk and Compliance",Administrator: Risk Management,To deliver administrative service in order to process risk management transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
21,MOTUS,Administration,Administrator: Aftersales,To process administrative and related after-sales transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
22,MOTUS,Administration,Administrator: Claims,To deliver administrative work in order to process/administer claims and related transactions accurately and timely through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
23,MOTUS,"Legal, Risk and Compliance",Administrator: Compliance,To deliver administrative service in order to process compliance transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
24,MOTUS,Finance,Administrator: Creditors,To deliver a clerical service in order to process creditors/accounts payable transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
25,MOTUS,Customer Service,Administrator: Customer Service,"To provide support services to customers through communication, by providing feedback and after service follow ups and adhering to all administration requirements.",2500,,,,
26,MOTUS,Administration,Administrator: Data,To deliver administrative work in order to process data related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
27,MOTUS,Finance,Administrator: Debtors,"To liaise with customer with regard to outstanding payments, record relevant information and processing payments transaction accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.",2500,,,,
28,MOTUS,Administration,Administrator: Depot (ECS),To assist the unit in delivering depot administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
29,MOTUS,Administration,Administrator: Fleet,To provide efficient administrative support through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
30,MOTUS,Human Capital,Administrator: Human Capital,To provide timeous administrative human resources support through the execution of set work objectives as per agreed standard operating procedures.,2500,,,,
31,MOTUS,Finance,"Administrator: Legal, Finance and Property",To deliver an administrative service in order to process administrative and financial transactions accurately and timeously as per agreed standard operating procedures and legislative requirements.,2500,,,,
32,MOTUS,Parts,Administrator: Logistics,To deliver administrative support on local and OEM orders accurately and timeously as per agreed standard operating procedures.,2500,,,,
33,MOTUS,Marketing and Communications,Administrator: Marketing use Marketing Assistant,To deliver marketing administrative support in order to process marketing transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
34,MOTUS,Administration,Administrator: National Finance,To deliver finance administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
35,MOTUS,Administration,Administrator: Operations,To deliver operational administrative work in order to process operational related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
36,MOTUS,Administration,Administrator: Parts,To deliver parts administrative work in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures,2500,,,,
37,MOTUS,Finance,Administrator: Payroll,To deliver administrative work in order to process payroll transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
38,MOTUS,Administration,Administrator: Pricing,To deliver pricing administrative work in order to process pricing and agreement transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
39,MOTUS,Administration,Administrator: Service and Workshop,To provide administrative support to the service and workshop business unit accurately and timeously as per agreed standard operating procedures.,2500,,,,
40,MOTUS,Information Technology,Administrator: System Support,To deliver administrative system support in order to process administrative and related transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
41,MOTUS,Human Capital,Administrator: Training,To deliver on training and development interventions for employees in order to effectively and efficiently coordinate and process training and development transactions accurately and timely.,2500,,,,
42,MOTUS,Human Capital,Administrator: Training Centre,To deliver on training and development needs of employees in order to coordinate and process training and development transactions accurately and timeously.,2500,,,,
43,MOTUS,Operations,Administrator: Warehouse,To coordinate and control warehouse administrative and invoicing tasks based on standard operating procedures to enable accurate and timely delivery of parts.,2500,,,,
44,MOTUS,Administration,Administrator: Warranty Importer,To deliver administrative support in order to process warranty transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
45,MOTUS,"Repairs, Servicing and Support Services",Advisor: Service,"To provide support services to customers during the complete vehicle service/repair process through communication, by providing feedback and after service follow ups and adhering to all administration requirements in order to ensure customer satisfaction.",2500,,,,
46,MOTUS,"Repairs, Servicing and Support Services",Advisor: Service,"To provide support services to customers during the complete vehicle service process through communication, by providing feedback and after service follow ups and adhering to all administration requirements.",2500,,,,
47,MOTUS,Customer Service,Agent: Call Centre,To deliver call centre duties in order to attend to customer queries accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
48,MOTUS,Customer Service,Agent: Customer Services,To ensure accurate processing of all operational requirements whilst providing customer service of the highest standards.,2500,,,,
49,MOTUS,Insurance and related financial services,Agent: Insurance,"To insurance advice and support to increase operational quality and turn around time, through the execution of predefined work objectives as per agreed standard operating procedures.",2500,,,,
50,MOTUS,Customer Service,Agent:Call Centre,To deliver call centre duties in order to attend to customer inquiries and requests accurately and in a timely manner through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
51,MOTUS,Marketing and Communications,Analyst: Marketing (Renault),"To provide advice and support for all activities relating to the analysis and reporting of potential markets for products and services in order to continuously enhance service delivery, updated information and to reach performance targets.",2500,,,,
52,MOTUS,Sales,Analyst: Sales,"To provide advice and support for all activities relating to the analysis and reporting of sales in order to continuously enhance service delivery, updated information and to reach performance targets.",2500,,,,
53,MOTUS,"Repairs, Servicing and Support Services",Analyst: Technical Compliance,"To provide technical advice and support to increase compliance standards for operational quality and turnaround time,as per agreed standard operating procedures. Assist in investigations, analysis and reporting on vehicle defects and escalate to continuously enhance service delivery.",2500,,,,
54,MOTUS,Quality Management,Analyst: Warranty (Importer),"To provide an effective warranty claims analysis and validation service, advice and support in order to ensure business and dealer operational compliance with specific rules and policies.",2500,,,,
55,MOTUS,Quality Management,Analyst: Warranty Adjudicator (Importer),"To provide an effective warranty claims analysis and validation service, advice and support in order to ensure business and dealer operational compliance with specific rules and policies related to multiple brands.",2500,,,,
56,MOTUS,"Repairs, Servicing and Support Services",Apprentice,To learn and develop technical and diagnostic skills in order to complete various levels of work accurately within agreed time frames as per agreed standard operating procedures.,2500,,,,
57,MOTUS,"Repairs, Servicing and Support Services",Apprentice: Level Year 1 - 4,To learn and develop technical and diagnostic skills in order to complete various levels of work accurately and timeously as per agreed standard operating procedures.,2500,,,,
58,MOTUS,"Repairs, Servicing and Support Services",Apprentice: Year 1 - 2,To learn and assist with the various apprenticeship disciplines and to assist with the services in order to process work accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
59,MOTUS,"Repairs, Servicing and Support Services","Artisan: Repairs, Servicing and Support Services","To provide an relevant artisan service, advice and support to increase operational quality and turnaround time, through the execution of predefined work objectives as per agreed standard operating procedures.",2500,,,,
60,MOTUS,"Repairs, Servicing and Support Services",Assembler,"To provide an assembling service, advice and support to increase operational quality and turnaround time, through the execution of predefined work objectives as per agreed standard operating procedures.",2500,,,,
61,MOTUS,"Repairs, Servicing and Support Services",Assembler,To deliver assembler work in order to process and assemble parts/products/accessories accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
62,MOTUS,"Repairs, Servicing and Support Services",Assembler: APEX,To deliver assembler work in order to process and assemble manufactured products accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
63,MOTUS,"Repairs, Servicing and Support Services",Assembler: Repair Shop Assistant,"To deliver daily repair shop assistance tasks to the repair shop, as per agreed standard operating procedures.",2500,,,,
64,MOTUS,"Repairs, Servicing and Support Services",Assistant Estimator,"To provide assistant estimation services to customers during the complete vehicle service process through communication, by providing feedback and after service follow ups and adhering to all administration requirements.",2500,,,,
65,MOTUS,Finance,Assistant: Accountant,To provide accounting services assistance against predefined work objectives as per agreed standard operating procedures.,2500,,,,
66,MOTUS,Administration,Assistant: Administration,To preform assistant administrative support services through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
67,MOTUS,Finance,Assistant: Bookkeeper,To deliver a bookkeeping service in order to process bookkeeping transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
68,MOTUS,"Repairs, Servicing and Support Services",Assistant: Estimator,To provide estimator services under supervision to customers at the onset of the vehicle repair process in order to support the productivity and profitability of the business.,2500,,,,
69,MOTUS,Insurance and related financial services,Assistant: Finance and Insurance,"To perform finance and insurance assistant duties that will increase operational quality and turn around time, through the execution of predefined work objectives as per agreed standard operating procedures.",2500,,,,
70,MOTUS,Quality Management,Auditor: Internal,"To provide an effective auditing service, advice and support in order to increase dealer operational compliance. Reviews policies and procedures relating to the area of responsibility to ensure compliance with specific rules and policies.",2500,,,,
71,MOTUS,Quality Management,Auditor: Internal (Alert),"To provide an effective auditing service, advice and support in order to increase operational compliance.",2500,,,,
72,MOTUS,"Repairs, Servicing and Support Services",Auto Electrician: Service,"To provide an auto electrician service, advice and support to increase operational quality and turn around time, through the execution of predefined work objectives as per agreed standard operating procedures.",2500,,,,
73,MOTUS,"Repairs, Servicing and Support Services",Auto Electrician: Service,"To provide an auto electrician service, advice and support to increase operational quality and turnaround time, through the execution of predefined work objectives as per agreed standard operating procedures.",2500,,,,
74,MOTUS,"Repairs, Servicing and Support Services",BA Journeyman,To provide technical service support in order to process transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
75,MOTUS,Marketing and Communications,Bachelor of Commerce: Applied Marketing Management - 48822,"Manage the Parts Accessory sales and marketing plans, implementing effective measures and analysis in line with predefined work objectives. Review timelines, plans, and monitor progress to ensure overall department efficiency to achieve business plan objectives.",2500,,,,
76,MOTUS,Parts,Biker: Delivery (Alert),To provide an effective delivery and collection of parts service as per agreed standard operating procedures to ensure excellent customer service through the timely delivery of merchandise.,2500,,,,
77,MOTUS,Finance,Bookkeeper,To deliver a bookkeeping service in order to process financial transactions accurately and timeously and create financial reports as per agreed standard operating procedures and legislative requirements.,2500,,,,
78,MOTUS,Marketing and Communications,Brand Ambassador,To deliver brand awareness work in order to increase brand awareness and sales transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
79,MOTUS,Procurement,Buyer,To deliver a procurement service in order to process purchasing transactions accurately and timely through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
80,MOTUS,Procurement,Buyer: Used Vehicles,To deliver a used vehicle purchasing service in order to process sales transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
81,MOTUS,Finance,Cashier,To deliver cashier service in order to process financial transactions accurately and timeously through the execution of predefined work objectives as per agreed standard operating procedures.,2500,,,,
82,MOTUS,Business Planning and Analytics,CEO of Sub Division,"To provide strategic direction in the formulation of the sub divisional operational organisational business model and strategy, in order to influence and enable divisional operations, organisational wide adoption.",5500,,,,
83,MOTUS,"Repairs, Servicing and Support Services",Char: Cleaner Washbay,"To deliver daily Washbay duties to ensure that the designated areas are left in a tidy and presentable condition, and execute all tasks and activities as per agreed standard operating procedures.",2500,,,,
84,MOTUS,"Repairs, Servicing and Support Services",Char: Cleaning and Refreshments,To deliver daily workplace and facilities tasks in order to execute predefined work activity as per agreed standard operating procedures.,2500,,,,
85,MOTUS,Operations,Chief Digital Officer,"Strategically formulate, align and utilise the capability of digital media to drive efficiencies and growth throughout the organisation, recognize and overcome operational inefficiencies by means of implementation of technological solutions and oversee digital transformation.",4200,,,,
86,MOTUS,Business Planning and Analytics,Chief Executive Officer,"To give direction to strategically aligning the business through importing, distributing, sales, marketing, parts, service and people practices. Achieve critical objectives by: (1) Increase marketing awareness, (2) Grow market share, (3) Give an acceptable return on investment to IMPERIAL shareholders/ stakeholders, (4) Develop and grow relationships with external and internal stakeholders, (5) Invest in people for the future.",5500,,,,
87,MOTUS,Business Planning and Analytics,Chief Executive Officer - Importer,"To give direction to strategically aligning the business through importing, distributing, sales, marketing, parts, service and people practices. Strategically align retail business to the importer. Achieve critical objectives by: (1) Increase marketing awareness, (2) Grow market share, (3) Give and acceptable return on investment to IMPERIAL shareholders/ stakeholders, (4) Develop and grow relationships with external and internal stakeholders, (5) Invest in people for the future.",5500,,,,
88,MOTUS,Business Planning and Analytics,Chief Executive Officer of Sub Division,"To provide strategic direction in the formulation of the sub divisional operational organisational business model and strategy, in order to influence and enable divisional operations, and organisational wide adoption.",5500,,,,
